Number of samples: 616 
Samples per second: 240 
Units: INLB 

Time: Sample
0.00000 2.63398
0.00416 2.92718
0.00833 3.29951
0.01250 3.75348
0.01666 4.23112
0.02083 4.68418
0.02500 5.13878
0.02916 5.63108
0.03333 6.09982
0.03750 6.57065
0.04166 7.02211
0.04583 7.52507
0.05000 8.00419
0.05416 8.46501
0.05833 8.95967
0.06250 9.51754
0.06666 10.0681
0.07083 10.6401
0.07500 11.2323
0.07916 11.8321
0.08333 12.4015
0.08750 12.9959
0.09166 13.6174
0.09583 14.2156
0.10000 14.8118
0.10416 15.3644
0.10833 15.8899
0.11250 16.4206
0.11666 16.9013
0.12083 17.3264
0.12500 17.7051
0.12916 18.0701
0.13333 18.3909
0.13750 18.6475
0.14166 18.8556
0.14583 19.0081
0.15000 19.0597
0.15416 19.0321
0.15833 18.9063
0.16250 18.7131
0.16666 18.4508
0.17083 18.0902
0.17500 17.6680
0.17916 17.2310
0.18333 16.7927
0.18750 16.3730
0.19166 15.9799
0.19583 15.6200
0.20000 15.2664
0.20416 14.9056
0.20833 14.5367
0.21250 14.1755
0.21666 13.7299
0.22083 13.1717
0.22500 12.5256
0.22916 11.7722
0.23333 10.8462
0.23750 9.71323
0.24166 8.43986
0.24583 7.10303
0.25000 5.69662
0.25416 4.20928
0.25833 2.72878
0.26250 1.24657
0.26666 -0.26007
0.27083 -1.72237
0.27500 -3.04839
0.27916 -4.18512
0.28333 -5.44201
0.28750 -6.81206
0.29166 -8.17380
0.29583 -9.51528
0.30000 -10.7762
0.30416 -11.9780
0.30833 -13.1048
0.31250 -14.1298
0.31666 -15.0512
0.32083 -15.8899
0.32500 -16.5927
0.32916 -17.2055
0.33333 -17.7534
0.33750 -18.2761
0.34166 -18.7064
0.34583 -19.0954
0.35000 -19.4347
0.35416 -19.7198
0.35833 -19.9155
0.36250 -19.9598
0.36666 -19.8714
0.37083 -19.6397
0.37500 -19.1667
0.37916 -18.4485
0.38333 -17.5927
0.38750 -16.6472
0.39166 -15.5554
0.39583 -14.3427
0.40000 -13.0760
0.40416 -11.8061
0.40833 -10.5139
0.41250 -9.17933
0.41666 -7.88978
0.42083 -6.65037
0.42500 -5.37917
0.42916 -4.10241
0.43333 -2.82724
0.43750 -1.57185
0.44166 -0.30565
0.44583 0.99550
0.45000 2.39190
0.45416 4.00982
0.45833 5.76072
0.46250 7.62226
0.46666 9.66645
0.47083 11.6653
0.47500 13.4297
0.47916 14.9384
0.48333 16.2189
0.48750 17.3215
0.49166 18.3605
0.49583 19.3340
0.50000 20.2109
0.50416 21.0299
0.50833 21.8554
0.51250 22.6800
0.51666 23.4170
0.52083 24.0973
0.52500 24.7522
0.52916 25.3669
0.53333 25.8746
0.53750 26.1872
0.54166 26.3201
0.54583 26.3425
0.55000 26.2611
0.55416 26.0584
0.55833 25.7757
0.56250 25.3865
0.56666 24.8962
0.57083 24.2591
0.57500 23.5315
0.57916 22.7569
0.58333 21.9368
0.58750 21.0755
0.59166 20.2143
0.59583 19.3818
0.60000 18.5736
0.60416 17.7416
0.60833 16.8832
0.61250 16.0487
0.61666 15.1903
0.62083 14.2753
0.62500 13.3172
0.62916 12.3002
0.63333 11.1831
0.63750 9.99503
0.64166 8.79177
0.64583 7.58500
0.65000 6.38305
0.65416 5.19752
0.65833 4.04714
0.66250 2.94486
0.66666 1.85002
0.67083 0.70595
0.67500 -0.43582
0.67916 -1.53840
0.68333 -2.62239
0.68750 -3.54134
0.69166 -4.47246
0.69583 -5.64882
0.70000 -6.95061
0.70416 -8.35862
0.70833 -9.73948
0.71250 -11.0457
0.71666 -12.2552
0.72083 -13.3823
0.72500 -14.3938
0.72916 -15.1981
0.73333 -15.8555
0.73750 -16.4375
0.74166 -16.9251
0.74583 -17.2814
0.75000 -17.5964
0.75416 -17.8434
0.75833 -17.9570
0.76250 -17.9223
0.76666 -17.7190
0.77083 -17.3229
0.77500 -16.7599
0.77916 -16.0153
0.78333 -15.1118
0.78750 -14.0754
0.79166 -12.9334
0.79583 -11.6365
0.80000 -10.2680
0.80416 -8.86069
0.80833 -7.35952
0.81250 -5.79651
0.81666 -4.23389
0.82083 -2.66168
0.82500 -1.02808
0.82916 0.63039
0.83333 2.29904
0.83750 4.11140
0.84166 6.12055
0.84583 8.24060
0.85000 10.5772
0.85416 12.9085
0.85833 15.0100
0.86250 16.7783
0.86666 18.1602
0.87083 19.2029
0.87500 20.0328
0.87916 20.6744
0.88333 21.0901
0.88750 21.3242
0.89166 21.3972
0.89583 21.3355
0.90000 21.0865
0.90416 20.6954
0.90833 20.1553
0.91250 19.5000
0.91666 18.6840
0.92083 17.6823
0.92500 16.5484
0.92916 15.2901
0.93333 13.9373
0.93750 12.4902
0.94166 11.0334
0.94583 9.61593
0.95000 8.24123
0.95416 6.92498
0.95833 5.70809
0.96250 4.56812
0.96666 3.46969
0.97083 2.42086
0.97500 1.39000
0.97916 0.43447
0.98333 -0.49406
0.98750 -1.42246
0.99166 -2.23487
0.99583 -2.89922
1.00000 -3.71193
1.00416 -4.67992
1.00833 -5.66504
1.01250 -6.65276
1.01666 -7.65443
1.02083 -8.70189
1.02500 -9.72739
1.02916 -10.7055
1.03333 -11.6707
1.03750 -12.5681
1.04166 -13.3658
1.04583 -13.9926
1.05000 -14.5027
1.05416 -14.9209
1.05833 -15.1977
1.06250 -15.2972
1.06666 -15.3100
1.07083 -15.1887
1.07500 -14.8919
1.07916 -14.4099
1.08333 -13.7471
1.08750 -12.9236
1.09166 -11.9460
1.09583 -10.8138
1.10000 -9.58035
1.10416 -8.27567
1.10833 -6.95050
1.11250 -5.61768
1.11666 -4.30136
1.12083 -3.00675
1.12500 -1.69823
1.12916 -0.35578
1.13333 1.06390
1.13750 2.48564
1.14166 4.13490
1.14583 5.89321
1.15000 7.66623
1.15416 9.50100
1.15833 11.2890
1.16250 13.0016
1.16666 14.6055
1.17083 16.0094
1.17500 17.2544
1.17916 18.3591
1.18333 19.3116
1.18750 20.1462
1.19166 20.9039
1.19583 21.5700
1.20000 22.1329
1.20416 22.5974
1.20833 22.9546
1.21250 23.2891
1.21666 23.5131
1.22083 23.6026
1.22500 23.5352
1.22916 23.3289
1.23333 22.9318
1.23750 22.3170
1.24166 21.5640
1.24583 20.6135
1.25000 19.4434
1.25416 18.0550
1.25833 16.5732
1.26250 14.9994
1.26666 13.3688
1.27083 11.7509
1.27500 10.1834
1.27916 8.69908
1.28333 7.31247
1.28750 5.98070
1.29166 4.69194
1.29583 3.39975
1.30000 2.08501
1.30416 0.73982
1.30833 -0.57476
1.31250 -1.78121
1.31666 -2.84250
1.32083 -4.06442
1.32500 -5.39087
1.32916 -6.72600
1.33333 -8.10304
1.33750 -9.47081
1.34166 -10.6838
1.34583 -11.7445
1.35000 -12.6464
1.35416 -13.3919
1.35833 -13.9577
1.36250 -14.2830
1.36666 -14.4392
1.37083 -14.4188
1.37500 -14.1911
1.37916 -13.7841
1.38333 -13.1845
1.38750 -12.3602
1.39166 -11.3197
1.39583 -9.99007
1.40000 -8.46615
1.40416 -6.77118
1.40833 -4.97932
1.41250 -3.13240
1.41666 -1.24616
1.42083 0.71781
1.42500 2.86435
1.42916 5.40758
1.43333 8.29973
1.43750 11.5538
1.44166 14.7355
1.44583 17.6179
1.45000 20.1591
1.45416 22.3349
1.45833 24.2711
1.46250 26.1827
1.46666 28.0626
1.47083 29.8494
1.47500 31.5069
1.47916 32.9934
1.48333 34.1488
1.48750 34.7325
1.49166 35.0488
1.49583 35.7045
1.50000 36.5767
1.50416 37.3889
1.50833 38.0247
1.51250 38.5761
1.51666 39.1374
1.52083 39.7413
1.52500 40.3031
1.52916 40.7723
1.53333 41.0999
1.53750 41.2057
1.54166 41.1873
1.54583 41.0768
1.55000 40.8026
1.55416 40.3322
1.55833 39.6472
1.56250 38.7675
1.56666 37.7437
1.57083 36.5860
1.57500 35.3686
1.57916 34.2888
1.58333 33.4509
1.58750 32.7846
1.59166 32.2907
1.59583 32.0506
1.60000 32.0526
1.60416 32.2283
1.60833 32.5411
1.61250 33.0091
1.61666 33.5334
1.62083 34.0666
1.62500 34.5160
1.62916 34.8977
1.63333 35.1608
1.63750 35.2198
1.64166 35.1342
1.64583 34.9479
1.65000 34.6093
1.65416 34.0785
1.65833 33.3265
1.66250 32.2935
1.66666 31.0175
1.67083 29.5209
1.67500 27.9112
1.67916 26.3262
1.68333 24.8312
1.68750 23.4366
1.69166 22.2543
1.69583 21.2411
1.70000 20.2793
1.70416 19.3897
1.70833 18.4832
1.71250 17.4986
1.71666 16.4108
1.72083 15.2801
1.72500 14.1357
1.72916 13.0067
1.73333 11.8211
1.73750 10.5511
1.74166 9.23212
1.74583 7.86600
1.75000 6.44637
1.75416 4.92726
1.75833 3.32608
1.76250 1.64204
1.76666 -0.15360
1.77083 -1.97393
1.77500 -3.69761
1.77916 -5.64321
1.78333 -8.04771
1.78750 -10.6530
1.79166 -13.1771
1.79583 -15.3287
1.80000 -16.9407
1.80416 -18.1508
1.80833 -19.1034
1.81250 -19.7625
1.81666 -20.0896
1.82083 -20.1178
1.82500 -19.8363
1.82916 -19.1810
1.83333 -18.2192
1.83750 -17.0088
1.84166 -15.4784
1.84583 -13.5775
1.85000 -11.4033
1.85416 -9.03773
1.85833 -6.61031
1.86250 -4.20477
1.86666 -1.81120
1.87083 0.56337
1.87500 3.01252
1.87916 5.70352
1.88333 8.55992
1.88750 11.6408
1.89166 14.6344
1.89583 17.2821
1.90000 19.5438
1.90416 21.5529
1.90833 23.3122
1.91250 24.7871
1.91666 25.9699
1.92083 26.9957
1.92500 27.9279
1.92916 28.7857
1.93333 29.5632
1.93750 30.2271
1.94166 30.7193
1.94583 31.0598
1.95000 31.2632
1.95416 31.4299
1.95833 31.5553
1.96250 31.6549
1.96666 31.5984
1.97083 31.3404
1.97500 30.8621
1.97916 30.1812
1.98333 29.2185
1.98750 27.9550
1.99166 26.4096
1.99583 24.6597
2.00000 22.7028
2.00416 20.5518
2.00833 18.3199
2.01250 16.1442
2.01666 14.0683
2.02083 12.1140
2.02500 10.2527
2.02916 8.48400
2.03333 6.84147
2.03750 5.26785
2.04166 3.77760
2.04583 2.36353
2.05000 0.92189
2.05416 -0.49129
2.05833 -1.85793
2.06250 -3.02155
2.06666 -3.99235
2.07083 -5.15597
2.07500 -6.39356
2.07916 -7.62198
2.08333 -8.74130
2.08750 -9.70083
2.09166 -10.4555
2.09583 -10.9787
2.10000 -11.2815
2.10416 -11.4269
2.10833 -11.3665
2.11250 -11.0652
2.11666 -10.5673
2.12083 -9.87378
2.12500 -8.99190
2.12916 -7.88962
2.13333 -6.62098
2.13750 -5.28021
2.14166 -3.84133
2.14583 -2.29635
2.15000 -0.70294
2.15416 0.97611
2.15833 2.90010
2.16250 4.98833
2.16666 7.25188
2.17083 9.67346
2.17500 12.0367
2.17916 14.2340
2.18333 16.2573
2.18750 18.0527
2.19166 19.6847
2.19583 21.1150
2.20000 22.3571
2.20416 23.4425
2.20833 24.4242
2.21250 25.3556
2.21666 26.2209
2.22083 26.9436
2.22500 27.5186
2.22916 27.9645
2.23333 28.2555
2.23750 28.3515
2.24166 28.2559
2.24583 27.9549
2.25000 27.3664
2.25416 26.4674
2.25833 25.2780
2.26250 23.8288
2.26666 22.1111
2.27083 20.1268
2.27500 17.9448
2.27916 15.5366
2.28333 13.0464
2.28750 10.6348
2.29166 8.42065
2.29583 6.45920
2.30000 4.66662
2.30416 2.90808
2.30833 1.18655
2.31250 -0.44012
2.31666 -1.94709
2.32083 -3.30541
2.32500 -4.70346
2.32916 -6.18610
2.33333 -7.60272
2.33750 -8.99538
2.34166 -10.3149
2.34583 -11.4292
2.35000 -12.2988
2.35416 -12.9803
2.35833 -13.4671
2.36250 -13.7080
2.36666 -13.7518
2.37083 -13.7097
2.37500 -13.5520
2.37916 -13.1854
2.38333 -12.5962
2.38750 -11.8390
2.39166 -10.8846
2.39583 -9.74067
2.40000 -8.44911
2.40416 -7.06810
2.40833 -5.57936
2.41250 -4.04129
2.41666 -2.48851
2.42083 -0.93868
2.42500 0.66375
2.42916 2.41682
2.43333 4.42160
2.43750 6.57048
2.44166 9.02867
2.44583 11.7370
